	ViP	sViP	IFIH1	anti_MDA5ILD_PBMC_36309526	Anti_Muscle_IFN_31434690	IPF52_28942086	IPF11Yang_22761659	HP_34183448	
GSM4753111	-189.375665	-189.375665	0.024236	1.889944	0.788608	-5.343309	-2.409789	-28.580490
GSM4753112	-184.877932	-184.877932	-0.130314	-1.996191	-3.375473	0.548857	-0.802221	-25.305357
GSM4753113	-232.008712	-232.008712	-0.480839	-4.689572	-5.412348	-4.964940	-4.187446	-28.778408
GSM4753114	-201.683376	-201.683376	-0.047765	1.361120	0.095660	0.206180	-2.673956	-31.156821
GSM4753115	-233.350014	-233.350014	-0.665409	-5.486357	-7.211270	-0.043908	1.148681	-30.843357
GSM4753116	-237.550295	-237.550295	-0.570146	-4.638973	-4.379480	-0.172509	-4.774103	-33.519634
GSM4753117	-189.815435	-189.815435	0.087464	1.872721	1.159249	-1.035234	-0.640900	-29.184986
GSM4753118	-213.650370	-213.650370	-0.292569	-5.405059	-5.905786	-2.489585	1.069516	-25.271322
GSM4753119	-170.641931	-170.641931	0.354898	4.381360	3.320632	2.060733	-1.868301	-27.663353
GSM4753120	-168.845438	-168.845438	0.430944	5.391974	4.132670	0.155485	-3.067216	-31.856767
GSM4753121	-231.250766	-231.250766	-0.407160	-5.789293	-5.843720	-4.789915	-4.275628	-30.965206
GSM4753122	-231.284565	-231.284565	-0.554882	-6.639026	-6.896172	0.516705	-2.874414	-30.162788
GSM4753123	-236.112100	-236.112100	-0.583906	-7.509103	-6.557201	0.277337	-4.616707	-33.050557
GSM4753124	-212.480905	-212.480905	-0.218974	-5.789366	-5.727537	0.110713	-4.233716	-27.536852
GSM4753125	-214.450236	-214.450236	-0.274612	-1.892808	-1.230878	-0.733062	-4.593759	-31.309297
GSM4753126	-216.033149	-216.033149	-0.290699	-2.347083	-3.952372	-1.792599	-6.290552	-30.028692
GSM4753127	-212.962545	-212.962545	-0.297291	-5.577803	-5.841243	-2.421414	-4.303385	-26.471639
GSM4753128	-225.009153	-225.009153	-0.434073	-6.603442	-5.896592	0.458443	-2.937835	-31.511975
GSM4753129	-185.584172	-185.584172	0.150740	1.098416	0.554551	-4.683255	-1.967825	-21.811805
GSM4753130	-225.019613	-225.019613	-0.360535	-6.378364	-6.954776	0.386242	-2.772885	-28.293230
GSM4753131	-180.498004	-180.498004	-0.024329	-0.944785	-0.487161	-1.740807	-2.651276	-26.860213
